dan,og det i at en er paa var de han den der ikke til jeg af men saa med som for hun om et sig har havde da man ja jo nu sagde kan fra du hvad ogsaa ved berner kunde noget være ud skulde hvor ham dem duborg terndrup naar nei over have eller holst vi op sin blev mig skal gik efter kom selv ragna nok dog se gamle end her saae meget ind vilde kun alt maa hans hende hele vil godt svarede sine marie alle aldrig altid to veed lille ganske mere anden været naturligvis lige 
deu,der die und das den ein dem ist auf in er so hat zachenhesselhans sich im mit sie wie zu ich einer noch an da aber nicht nit einen aus auch über eine wenn von wir fei hanstonl vom denn sagt es jetzt daß schon was fanele haben sein sind um wieder am du helari weil wald ihm wird einmal is muß kann wawrl geht hab mir als des peterl nur für zum wind s zwei doch ihr franzl durch viel schnee hans alte vor einem nach nun gar sonnenwirbel waldland kein immer mehr oder kommt will unter denkt dann 
eng,the and of to a i he in that was his it had you with as at which for my is have him be there on this me said upon but from we all they not no her were by one so been them when are man up an would out what who or some if into could down will their holmes she over your do then more little has now before very two about time other come any way face came asked our how see through answered eyes well hand than however found should hope ferrier us these long 
fin,ja hän on niin mutta ei minä oli hänen se että kun mitä kuin nyt sen ole hyvä minun teidän sinä en olisi vain sitten jos kuinka joka sitä te eikä kyllä tämä häntä olen jo minua sanoi vielä alkoi siinä kaikki siitä voi koko ylhäisyytenne tai mitään rouva kanssa ollut vaan pitää siellä luo ajatteli mikä he tuo mies herra enää me siis no yhtäkkiä ovat kysyi tässä jonka sinun vaikka hänet hänelle minulle heti aivan kerran sillä edes meidän täällä ikäänkuin minut jumala senkin itse saa sinotshka tämän miksi olet aina juuri nainen aika ivan vanda olkaa kuka 
fra,de la à et le les je un en nous des du il que ne une mon pas dans se ce au me qui oncle plus mais sur par cette ces avec pour a son dun sa est ses bien si professeur sans tout comme hans dune peu ma mes notre était donc deux sous elle lui dont où nos avait non cest encore ou on heures fut mer cela fait même y moi quil là cependant tu pendant pieds quelques aux tête rien oui après terre alors leur ainsi ni être cet car quand quelque puis dit radeau axel 
hun,a – az s nem hogy és egy volt de csak is mint meg ki kis ez már ha el szólt azt még se volna mikor én nagy aztán van vagy mert ő ember úgy nagyon mi egész mit minden igen szép ne mely te lilith jó ezt szegény olyan mintha neki dom felelt valami két öreg vagyok soha kell kik mindig akkor után ott most liliputi oly végre vele gil hozzá azért voltak rá ó sem inicza pedig nekem fel kellett magát maga kérdezte hanem majd nap úr egyszer igy tudom sok itt lehet miért ön jónás így asszony 
isl,að og í er á sem þú en það til með því eða af eigi við þess um ekki eru þér konu ef þá fyrir henni svo eins þar eg hún vel verður sé getur þegar hefir sje sér úr þeim undir þarf áður þig heldur átt þær vera hafa hennar — þml kvenna frá innan niður vertu má mun upp komið aldrei menn eftir hana konur þína oft út gott efni einnig þau mjög konan þó fara vinna vill þeir hann of þín ætíð þótt hylli gera þitt orðið yfir verða fram ganga þessa mikið þetta nú vil bæði 
ita,e — di la che non il a un si in le una ma con per è della del era i da più mi io sua come alla ella se signora gli suo aveva al lo egli signor gegia ha o oh due ci nella così quando me lei perchè mia sono poi nel anche delle ne quel suoi quella questo mio tu ed vi sempre cosa disse dei cui ad ho dalla tanto sul occhi tutto questa casa qualche giorno tempo senza chi prima no cè mai nè ancora sue ogni mano sulla uno doretta sì loro finestra dal 
nld,de en van het in te een den dat die door aan met op ook hij is eene zijn uit der niet zich bij als om voor ik maar tot zij of men naar er hem wij dit dan zijne was hebben haar heeft magie t zooals ze wordt gij over mij echter u had wat worden v nog zelf geen deze al ons tegen toen werd ten god reeds zou andere meer wel na toch hoe c zal goden zoo zekere demonen mijn alle nu hen moet daar naam hun waren toe tooverij zien e doen dien want hier 
por,de a e que o da os do em um as uma com não se por na dos no das para como á ao mais era sua é sem ella eu mas lhe nos ou elle já nas seu seus aos luiza toda pela num numa tudo dum grande tinha sobre casa me entre pelo quando olhos rogério então onde ás tão foi mesmo annos velho muito vida todos ia nem ainda noite suas duma meu tempo quem essa pouco cada disse minha tinham vez até mulher bem quasi estava ter depois dia cabeça mãos esse voz dois duas homem 
spa,de la que y el en a se los no un las su con del por era una lo había le más como al pero don para sus él es sin si ella todo vetusta o muy estaba ni aquella doña ya aquel ana tenía ser poco esta porque cuando magistral todos sobre podía eran siempre mucho menos ojos este habían entre bien señor yo tan vez hasta sí regenta después decía allí esto mesía casa otro anita nada dos sabía aquellos ozores así quería hombre algo qué tal mujer eso años iba antes mundo todas usted aunque pues también 
swe,och han det en att i jag på som var med så är men sig du för om den av inte till ett de honom hon nu har david hade då hans där skulle när mig ej bara henne kan detta ni vad upp ut man skall över vara kom gick kunde från hur alla såg eller sade något sin här vi in gå mycket dem ha själv satt aldrig hartman vet efter mot allt gud min nästan utan vill åt ja nilenius under få hela vid någon igen ziri tänkte väl denna mitt gång ville än kände ur sitt 
