austronesian,ang sa ng na ay at mga di ni isang si isáng nang may hindî kanyáng ko mo kung gerardo lang pa ka kanyang itó walâng iyán memò kundî walâ ba hindi walang lahát anó kápitang sapagkat kay siyay ha ó man elíng pô lahat iyón siya dapwat aking upang
germanic,og det i at en er paa var de han den der ikke til jeg af men saa med som for hun om et sig har havde da man ja jo nu sagde kan fra du hvad ogsaa ved berner kunde noget være ud skulde hvor ham dem duborg terndrup 
 der die und das den ein dem ist auf in er so hat zachenhesselhans sich im mit sie wie zu ich einer noch an da aber nicht nit einen aus auch über eine wenn von wir fei hanstonl vom denn sagt es jetzt daß schon was fanele haben sein sind 
 the and of to a i he in that was his it had you with as at which for my is have him be there on this me said upon but from we all they not no her were by one so been them when are man up an would 
 að og í er á sem þú en það til með því eða af eigi við þess um ekki eru þér konu ef þá fyrir henni svo eins þar eg hún vel verður sé getur þegar hefir sje sér úr þeim undir þarf áður þig heldur átt þær vera hafa 
 de en van het in te een den dat die door aan met op ook hij is eene zijn uit der niet zich bij als om voor ik maar tot zij of men naar er hem wij dit dan zijne was hebben haar heeft magie t zooals ze wordt gij 
 og det han at ikke var er i hun paa til en saa men med de jeg hadde for som du sig den nu har av et om sa skal aksel ham da kunde hvad skulde ha igjen vilde nei ja hende bare kom barbro fra vel sier her være 
 och han det en att i jag på som var med så är men sig du för om den av inte till ett de honom hon nu har david hade då hans där skulle när mig ej bara henne kan detta ni vad upp ut man skall över vara kom
romance,de la à et le les je un en nous des du il que ne une mon pas dans se ce au me qui oncle plus mais sur par cette ces avec pour a son dun sa est ses bien si professeur sans tout comme hans dune peu ma mes 
 e — di la che non il a un si in le una ma con per è della del era i da più mi io sua come alla ella se signora gli suo aveva al lo egli signor gegia ha o oh due ci nella così quando me lei perchè 
 de a e que o da os do em um as uma com não se por na dos no das para como á ao mais era sua é sem ella eu mas lhe nos ou elle já nas seu seus aos luiza toda pela num numa tudo dum grande tinha 
 de si in cu ca pe sa a o la din se ce un nu cand lui mai al e care prin ei cum tu el este te eminescu ea dar sunt cea tot iar eu dulce caci mea fi sau viata fata lume ma ta cel ochii lor luna 
 de la que y el en a se los no un las su con del por era una lo había le más como al pero don para sus él es sin si ella todo vetusta o muy estaba ni aquella doña ya aquel ana tenía ser poco esta porque cuando
slavic,se a na to v do je slávek s že si k ale už co by i po za byl jako z tak když ho u bylo jak řekl o »a tam tu mu jen zase jeho jsem ještě jim ti až před ani ve od byla jsou tetička »to 
 i się w na z nie do a to o jej po że jak za co tak od lecz mu ale już przez go pan sobie on pod teraz ona gdy ją tej jeszcze tylko przed dla oczy było ze bo nagle nawet jest tego janek ten wentzel tu był
uralic,ja hän on niin mutta ei minä oli hänen se että kun mitä kuin nyt sen ole hyvä minun teidän sinä en olisi vain sitten jos kuinka joka sitä te eikä kyllä tämä häntä olen jo minua sanoi vielä alkoi siinä kaikki siitä voi koko ylhäisyytenne tai mitään rouva kanssa 
 a – az s nem hogy és egy volt de csak is mint meg ki kis ez már ha el szólt azt még se volna mikor én nagy aztán van vagy mert ő ember úgy nagyon mi egész mit minden igen szép ne mely te lilith jó ezt szegény olyan
