austronesian,sa ug ang nga si mga ka na ni e ena me dua a ing lan sing aku ora dheweke saka wis te i o ki he ko le ma se ia ai sa ng at ay y của tôi một và có trong đã không
baltic,ir jis aš kad buvo mano kaip į jo savo tai yra bet su iš ar kai ne mane man ką jūs taip kuris labai un ir no es uz viņš tas bija kas par ka to kā viņa vai viņu nav mēs mani tur
gaelic,y yn a i r yr o ar ei oedd ac n wedi mae ond am un an air na agus e bha s gu ann do mar so b cha go sé bhí ag é aon h d ní
germanic,die en van in n is op og det han i at de der und die den das dem the and to a of he að í er á sem þú te het een ikke hun jeg och som var
niger-congo,na ya kwa wa katika ni wakati kwenye yake alikuwa kuwa juu yangu kama hiyo sana kutoka la ikiwa au za moja mtu sababu lakini futhi ukuthi lapho kakhulu i kepha noma uma kanye wami umalume wakhe akhe manje yakhe kodwa zakhe ku isikhathi lapha lokhu ke lo u naye
romance,i de la a que el l un il à et le en o d os e n di che si da se in cu y los
slavic,a se v na to je by do si o co s že už slávek k ale jako bylo z po tak od ho u i się nie w a że jak janek za już jej sobie bo tylko przez tadzio
turkic,bir ve bu için o ben daha ne ama çok da onun iyi benim zaman gibi değil sonra de ile onu ya şey kadar her bana vardı oldu beni tarafından geri var dedi nasıl eğer adam ki veya başka olduğunu olarak olacak iki şekilde biz ona onlar biraz olan neden
uralic,ja ta ma on see et oli kui ei mis seda oma tema sa minu mulle mind ja hän mutta minä hänen niin se teidän että mitä nyt tarkastaja ole ylhäisyytenne a nem az s hogy és egy csak volt mint meg még de inicza el én ha
vasconic,eta ez da zuen zen bat bere nire egin izan dut esan baina nuen edo hori nintzen ere ziren duzu gure nahi hau du dugu egiten gabe oso dago nion neska ari nahikoa den behar zer bi batean zure nola hitz hasi dira zituen egun diren hemen izango uste duen
